name,cdate,expiry,autorenew,registrant,billing,admin,tech
underwater.co.za,2015-01-15 08:59:43.978146,2027-01-15 08:59:43.978146,False,C4459151,C4459151,C4459151,C4459151
kwekery.co.za,2026-02-16 18:15:48.893522,2027-02-16 18:15:48.893522,False,af603ef61e55a46,672a6484b915220,672a6484b915220,672a6484b915220
jayceepadel.co.za,2024-07-23 08:33:29.098624,2027-07-23 08:33:29.098624,False,68a203745c9e11e,c80ac8f1b143962,c80ac8f1b143962,c80ac8f1b143962
chipinn.co.za,2018-10-19 10:34:43.295990,2026-10-19 10:34:43.295990,False,698f4570f1b8f7a,56a2173757d11ef,56a2173757d11ef,56a2173757d11ef
eduallafrica.co.za,2021-02-01 09:50:30.606924,2027-02-01 09:50:30.606924,False,5f8096f006f0dc1,56a2173757d11ef,56a2173757d11ef,56a2173757d11ef
wilken.co.za,2007-07-30 15:14:51,2026-07-30 15:14:51,False,DE4592DE8FB21E91,C5283831,C5283832,C5283833
rec.co.za,2005-10-05 14:11:13,2026-10-05 14:11:13,False,C0220287,C0220287,C0220287,C0220287
rlgtrinity.co.za,2017-06-13 18:55:36.837664,2027-06-13 18:55:36.837664,False,F035940352804E18,40A59403528388DD,6C559403528956F6,70B594035286619B
culturalguiding.co.za,2024-11-01 07:43:12.594371,2026-11-01 07:43:12.594371,False,a97d698225480e7,dd1dd0c7dbe2bb8,dd1dd0c7dbe2bb8,dd1dd0c7dbe2bb8
edentennis.co.za,2022-08-22 12:07:53.427763,2027-08-22 12:07:53.427763,False,ba76d9f73c3c8d6,c80ac8f1b143962,c80ac8f1b143962,c80ac8f1b143962
qpc.co.za,2008-08-15 13:56:48,2026-08-15 13:56:48,True,C0501925595,C0501925596,C0501925597,C0501925598
constructionservice.co.za,2017-03-27 08:47:22.458732,2027-03-27 08:47:22.458732,False,9F358D8ED53CCE88,1E758D8ED540F6C9,54C58D8ED547413C,B2158D8ED544B6BB
pharmacytraining.co.za,2016-02-02 08:50:41.968146,2027-02-02 08:50:41.968146,False,fb0f3e28948d611,fb0f3e28948d611,fb0f3e28948d611,fb0f3e28948d611
mgtcourses.co.za,2015-11-13 12:05:53.573183,2026-11-13 12:05:53.573183,False,cbe97db70dc1f3a,cbe97db70dc1f3a,cbe97db70dc1f3a,cbe97db70dc1f3a
tarentaalteater.co.za,2013-01-24 09:35:38.998530,2027-01-24 09:35:38.998530,False,C6462342,C6462343,C6462344,C6462345
mgttrainingsolutions.co.za,2015-10-22 10:28:48.407605,2026-10-22 10:28:48.407605,False,c832fb879569127,c832fb879569127,c832fb879569127,c832fb879569127
stepitup.co.za,2011-05-06 10:06:04,2027-05-06 10:06:04,False,C0936802,C0936802,C0936802,C0936802
adventurequalification.co.za,2017-01-05 18:20:47.761256,2027-01-05 18:20:47.761256,False,602586EAA49460C4,7E2586EAA497B46D,7D8586EAA49D1C21,D4D586EAA49AA361
guidewise.co.za,2024-02-05 09:03:23.040834,2027-02-05 09:03:23.040834,False,50e3cea722683ca,c80ac8f1b143962,c80ac8f1b143962,c80ac8f1b143962
instantweb.co.za,2017-03-16 21:49:03.900448,2027-03-16 21:49:03.900448,False,C9053153,C9053154,C9053155,C9053156
scubascene.co.za,2001-07-15 19:32:03,2027-07-15 19:32:03,False,C4455539,C4455539,C4455539,C4455539
rubeus.co.za,2004-09-18 11:41:04,2026-09-18 11:41:04,False,C0223410,C0223410,C0223410,C0223410
arcsa.co.za,2001-05-25 13:09:40,2027-05-25 13:09:40,False,C7833722,C7833723,C7833724,C7833725
jaycee-padel.co.za,2024-07-23 08:33:24.487478,2027-07-23 08:33:24.487478,False,4a14f52b08ef674,c80ac8f1b143962,c80ac8f1b143962,c80ac8f1b143962
kommaweer.co.za,2016-11-08 08:43:17.015585,2026-11-08 08:43:17.015585,False,C8710297,C8710298,C8710299,C8710300
nftga.co.za,2018-12-05 09:49:25.430458,2026-12-05 09:49:25.430458,False,03bc914f9c7350b,56a2173757d11ef,56a2173757d11ef,56a2173757d11ef
lsmuller.co.za,2020-06-24 10:31:26.245897,2027-06-24 10:31:26.245897,False,3fbb9507691eb38,56a2173757d11ef,56a2173757d11ef,56a2173757d11ef
pcconsult.co.za,2017-09-04 10:46:39.471721,2027-09-04 10:46:39.471721,False,3DE59AD2F0E7D69C,18659AD2F0EC41F6,50E59AD2F0F311D4,06959AD2F0F0064C
4africagrp.co.za,2017-01-13 12:06:32.558320,2027-01-13 12:06:32.558320,False,45A5878DE9315A3F,45A5878DE934FE18,D2F5878DE93AE2E2,ECA5878DE937F7CA
4africa.co.za,2017-01-13 12:06:26.640657,2027-01-13 12:06:26.640657,False,A225878DE8D0E45B,6495878DE8D65D58,2585878DE8DCC66A,D515878DE8D9E20E
sandtontours.co.za,2018-02-02 11:27:04.251342,2027-02-02 11:27:04.251342,False,5645A744B07021F1,1875A744B079C436,A095A744B080AF44,9145A744B07C82D8
pharmacycourses.co.za,2016-02-02 08:51:13.802134,2027-02-02 08:51:13.802134,False,C875973E7DA8E798,3f993b402b35767,3f993b402b35767,3f993b402b35767
icecool.co.za,2003-07-22 06:35:55,2026-07-22 06:35:55,False,C7394284,C7394285,C7394286,C7394287
